outgoing_call_count,incoming_call_count,outgoing_minutes,incoming_minutes,avg_call_duration,outgoing_incoming_ratio,sms_sent,sms_received,download_mb,upload_mb,avg_daily_data_mb,recharge_count,avg_recharge_amount,recharge_amount,active_days,days_since_last_recharge,num_cell_site_latch_ons,default,uuid
45,52,129.707395730841,193.90591240196363,3.302176613600047,0.8490566037735849,17,20,950.5914402491082,269.8538625839294,44.04076618386663,5,1.8831461648522922,9.41573082426146,27,3.819980284502356,247,0,0
40,40,62.745356214615526,47.50029906222008,1.361057472553526,0.975609756097561,30,0,1305.0448103593342,261.7518110359702,58.02962808058179,5,1.8663031569119508,9.331515784559754,27,5.389852186334414,190,0,1
45,43,77.6851594394518,93.5215097841016,1.9236704407140828,1.0227272727272727,0,25,388.1680682171286,133.9589393108995,14.508927299449791,7,9.217668856352448,64.52368199446714,26,18.783290331120885,215,0,2
38,39,118.31803129324962,72.61998567905249,2.4479232945166935,0.95,15,0,564.3830444936567,216.11101907396093,23.348247304467925,1,8.851148844198079,8.851148844198079,25,1.719085267750653,191,0,3
45,44,136.14686415123847,104.01975575401943,2.6685179989473102,1.0,22,26,393.2394322570145,61.59644234096601,13.709345195327725,2,1.9797349673089721,3.9594699346179443,29,4.829945414128978,215,0,4
29,39,56.165229395328666,44.9021331877487,1.4647443852619908,0.725,17,19,460.26720368493704,161.1516871921715,17.879781476215268,1,8.823815060843948,8.823815060843948,25,5.313342540915004,183,0,5
45,47,109.56254891864018,104.90882253264398,2.306143779046066,0.9375,15,29,425.6907371207767,123.19786027464322,19.662038162119796,4,1.9149699933435955,7.659879973374382,28,0.9281269865179911,234,0,6
38,36,91.26028060112475,139.78181049907863,3.0805612146693786,1.027027027027027,17,24,583.5433461126089,217.66489080274218,23.109221783749316,2,1.8164885319242914,3.6329770638485828,26,10.386148018046821,224,0,7
52,47,71.41299355306009,126.93982220696506,1.9835281576002515,1.0833333333333333,21,22,1380.4121435244908,415.39326112608165,48.07644565812055,4,9.286521118883453,37.14608447553381,27,9.757094831749443,268,0,8
47,37,134.56914060065952,61.11983032721945,2.3022231873868115,1.236842105263158,35,30,1279.5248121015816,497.65476287807854,56.00674585612805,3,1.9376382332782405,5.812914699834721,28,7.969329904005383,244,0,9
48,52,86.07896178401688,178.23990863820416,2.6170185190318915,0.9056603773584906,0,38,1047.7927807320339,163.99025099875408,43.94958718756211,7,1.9588049453507357,13.71163461745515,29,12.368424900660296,220,0,10
27,48,64.25162339933968,105.21783799587936,2.229861334147619,0.5510204081632653,0,19,520.8505600223701,88.56216180757525,18.5143359510822,5,8.795981769739882,43.97990884869941,25,6.8721317195510725,210,0,11
